"rank","country","pop","imfGDP","unGDP","gdpPerCapita"
33,"Malaysia",31949.777000000002,402.605,296.531469473,12601.183413580633
34,"Israel",8519.377,390.656,317.74757975,45854.99620453467
35,"Hong Kong",7436.154,387.983,320.912235499,52175.22391279147
36,"South Africa",58558.27,386.853,295.440009818,6606.291476848616
37,"Denmark",5771.876,386.403,306.89965341,66945.82489298106
38,"Singapore",5804.3369999999995,367.783,296.946278392,63363.481479452355
39,"Philippines",108116.615,355.744,304.905638877,3290.3730846549347
40,"Colombia",50339.443,347.027,282.462551367,6893.739368550423
41,"Bangladesh",163046.161,312.794,220.836732893,1918.4383004270796
42,"Finland",5532.156,304.133,238.502900312,54975.49237584768
43,"Chile",18952.038,295.844,247.045730477,15610.141769449806
44,"Czech Republic",10689.208999999999,276.961,195.305084919,25910.336302714262
45,"Romania",19364.557,265.265,186.690976699,13698.480166626068
46,"Vietnam",96462.106,264.939,205.276171343,2746.5603954365256
47,"Portugal",10226.187,260.353,204.836597909,25459.440551986776
48,"Peru",32510.452999999997,246.714,192.209529586,7588.759221534071
49,"Greece",10473.455,235.836,192.690813127,22517.49780755252
50,"New Zealand",4783.063,235.328,187.517098554,49200.27187599243
51,"Iraq",39309.782999999996,233.402,160.021001474,5937.504157680037
52,"Algeria",43053.054000000004,208.773,159.049145187,4849.203032147266
53,"Qatar",2832.067,193.906,152.451923077,68468.01293895942
54,"Kazakhstan",18551.427,190.469,135.005203998,10267.080801924294
